Software,Version Info
gslib,"aces: 1.0.8
faster: 1.0.8"
gzip,"aces: 1.10, 1.12
faster: 1.10, 1.12"
h5py,"aces: 3.1.0, 3.2.1, 3.6.0, 3.7.0, 3.8.0, 3.9.0, 3.10.0
faster: 2.10.0-Python-3.7.4, 2.10.0-Python-3.8.2, 3.1.0, 3.2.1, 3.6.0, 3.7.0, 3.8.0"
hatchling,"aces: 1.18.0
faster: 1.11.1, 1.18.0"
help2man,"aces: 1.47.8, 1.47.16, 1.48.3, 1.49.2, 1.49.3
faster: 1.47.4, 1.47.7, 1.47.8, 1.47.10, 1.47.12, 1.47.16, 1.48.3, 1.49.2, 1.49.3"
hiredis,"aces: 1.0.2
faster: 1.0.2"
humann,"aces: 3.6
anvil: 3.0.0, 3.6"
hunspell,"aces: 1.7.1
faster: 1.7.1"
hwloc,"aces: 2.2.0, 2.4.1, 2.5.0, 2.7.1, 2.8.0, 2.9.1, 2.9.2
anvil: 1.11.13
delta: 2.2.0
expanse: 1.11.11, 2.2.0
faster: 1.11.10, 1.11.12, 2.2.0, 2.4.1, 2.5.0, 2.7.1, 2.8.0, 2.9.1, 2.9.2
kyric: 2.1.0"
hypothesis,"aces: 5.41.2, 6.13.1, 6.14.6, 6.46.7, 6.68.2, 6.82.0, 6.88.1, 6.90.0
faster: 5.41.2, 5.41.5, 6.13.1, 6.14.6, 6.46.7, 6.68.2, 6.82.0"
iimpi,"aces: 2021b, 2022a, 2022b, 2022.12, 2023a, 2023b, 2023.03, 2023.07
faster: 2019b, 2020a, 2020b, 2020.12, 2021a, 2021b, 2022a, 2022b, 2022.00, 2022.05, 2022.09, ..."
imageio,"aces: 2.22.2
faster: 2.9.0, 2.13.5, 2.22.2"
imake,aces: 1.0.8
imbalanced-learn,aces: 0.10.1
imkl,"aces: 2021.4.0, 2022.1.0, 2022.2.1, 2023.0.0, 2023.1.0, 2023.2.0, 2024.0.0
faster: 2019.5.281, 2020.1.217, 2020.4.304, 2021.1.1, 2021.2.0, 2021.3.0, 2021.4.0, 2022.0.1, 2022.1.0, 2022.2.0, ..."
imkl-fftw,"aces: 2021.4.0, 2022.1.0, 2022.2.1, 2023.0.0, 2023.1.0, 2023.2.0
faster: 2021.4.0, 2022.0.1, 2022.1.0, 2022.2.0, 2022.2.1, 2023.0.0, 2023.1.0, ..."
impi,"aces: 2021.4.0, 2021.6.0, 2021.7.1, 2021.8.0, 2021.9.0, 2021.10.0, 2021.11.0
anvil: 2019.5.281
faster: 2018.5.288, 2019.7.217, 2019.9.304, 2021.1.1, 2021.2.0, 2021.3.0, 2021.4.0, 2021.5.0, 2021.6.0, 2021.7.0, ..."
intel,"aces: 2023.1.0, 2023.2.0, 2023.2.0.231103
anvil: 19.0.5.281
bridges-2: 20.4, 2021.3.0, 2021.10.0
delta: 2022.2.1, 2024.0.0
expanse: vecir2b, 6pv46so
faster: Toolkits, 2019b, 2020a, 2020b, 2020.12, 2021a, 2021b, 2022a, 2022b, 2022.00, 2022.05, ...
kyric: 19.1.3.304"
intel-compilers,"aces: 2021.2.0, 2021.4.0, 2022.1.0, 2022.2.0, 2022.2.1, ...
faster: 2021.1.2, 2021.2.0, 2021.3.0, 2021.4.0, 2022.0.1, ..."
intelpython,aces: 2024.1.0_814
intltool,"aces: 0.51.0
faster: 0.51.0"
jax,"aces: 0.2.20, 0.3.25-CUDA-11.7.0, 0.3.25, 0.4.4-CUDA-11.8.0, 0.4.4
faster: 0.2.19, 0.2.24-CUDA-11.3.1, 0.2.24, 0.3.9-CUDA-11.3.1, 0.3.9, 0.3.23-CUDA-11.7.0"
jbigkit,"aces: 2.1
faster: 2.1"
jemalloc,"aces: 5.2.1
faster: 5.2.1"
json-c,"aces: 0.16
faster: 0.16"
jupyter-server,"aces: 2.7.0, 2.7.2"
jupyterlmod,aces: 4.0.3
kblas-gpu,aces: 20231024-CUDA-11.8.0
kim-api,"aces: 2.2.1, 2.3.0
faster: 2.1.3, 2.2.1, 2.3.0"
kineto,aces: 0.4.0
libglu,"aces: 9.0.1, 9.0.2, 9.0.3
faster: 9.0.1, 9.0.2, 9.0.3"
librom,"aces: 93ca278
faster: 93ca278"
libaec,"aces: 1.0.6
faster: 1.0.6"
libarchive,"aces: 3.4.3, 3.5.1, 3.6.1, 3.6.2, 3.7.2
faster: 3.4.2, 3.4.3, 3.5.1, 3.6.1, 3.6.2, 3.7.2"
libatomic_ops,"aces: 7.8.2
faster: 7.8.2"
libcerf,"aces: 2.1, 2.3
faster: 1.13, 1.14, 1.17, 2.1"
libdap,"aces: 3.20.7
faster: 3.20.7, 3.20.8"
libdeflate,"aces: 1.10, 1.15, 1.18
faster: 1.8, 1.10, 1.15, 1.18"
libdrm,"aces: 2.4.106, 2.4.107, 2.4.110, 2.4.114, 2.4.115
faster: 2.4.99, 2.4.100, 2.4.102, 2.4.106, 2.4.107, 2.4.110, 2.4.114, 2.4.115"
libepoxy,"aces: 1.5.8, 1.5.10
faster: 1.5.4, 1.5.8, 1.5.10"
libev,"aces: 4.33
faster: 4.33"
libevent,"aces: 2.1.12
faster: 2.1.11, 2.1.12"
libfabric,"aces: 1.11.0, 1.12.1, 1.13.2, 1.15.1, 1.16.1, 1.18.0, 1.19.0
anvil: 1.12.0
delta: 1.15.2.0
faster: 1.11.0, 1.12.1, 1.13.2, 1.15.1, 1.16.1, 1.18.0, 1.19.0
kyric: 1.10.1"
libffi,"aces: 3.3, 3.4.2, 3.4.4
delta: 3.4.4
faster: 3.2.1, 3.3, 3.4.2, 3.4.4"
libgcrypt,"aces: 1.9.3
faster: 1.9.3"
libgd,"aces: 2.3.3
faster: 2.3.0, 2.3.1, 2.3.3"
libgeotiff,"aces: 1.6.0, 1.7.0, 1.7.1
faster: 1.5.1, 1.6.0, 1.7.0, 1.7.1"
libgit2,"aces: 1.1.0, 1.1.1, 1.4.3, 1.5.0
faster: 1.1.0, 1.1.1, 1.4.3, 1.5.0"
libglvnd,"aces: 1.3.3, 1.4.0, 1.6.0
faster: 1.2.0, 1.3.2, 1.3.3, 1.4.0, 1.6.0"
libgpg-error,"aces: 1.42
faster: 1.42"
libgpuarray,"aces: 0.7.6
faster: 0.7.6"
libiconv,"aces: 1.16, 1.17
anvil: 1.16
expanse: 1.16
faster: 1.15, 1.16, 1.17"
libidn,"aces: 1.38
faster: 1.38"
libidn2,"aces: 2.3.2
faster: 2.3.2"
libjpeg-turbo,"aces: 2.0.5, 2.0.6, 2.1.3, 2.1.4, 2.1.5.1
expanse: 2.0.4
faster: 2.0.3, 2.0.4, 2.0.5, 2.0.6, 2.1.3, 2.1.4, 2.1.5.1"
libogg,"aces: 1.3.4, 1.3.5
faster: 1.3.4, 1.3.5"
libopus,"aces: 1.3.1
faster: 1.3.1"
libpciaccess,"aces: 0.16, 0.17
expanse: 0.16
faster: 0.14, 0.16, 0.17"
libpng,"aces: 1.6.37, 1.6.38, 1.6.39, 1.6.40
anvil: 1.6.37
expanse: 1.6.37
faster: 1.2.59, 1.6.37, 1.6.38, 1.6.39"
libpsl,"aces: 0.21.1
faster: 0.21.1"
libreadline,"aces: 8.0, 8.1, 8.1.2, 8.2
faster: 7.0, 8.0, 8.1, 8.1.2, 8.2"
librsvg,"aces: 2.55.1
faster: 2.51.2, 2.55.1"
librttopo,"aces: 1.1.0
faster: 1.1.0"
libsndfile,"aces: 1.0.31, 1.1.0, 1.2.0
delta: 1.0.28
faster: 1.0.28, 1.0.31, 1.1.0, 1.2.0"
libsodium,"aces: 1.0.18
faster: 1.0.18"
libspatialindex,"aces: 1.9.3
faster: 1.9.3"
libspatialite,"aces: 5.0.1
faster: 5.0.1"
libtasn1,"aces: 4.18.0
faster: 4.18.0"
libtirpc,"aces: 1.3.1, 1.3.2, 1.3.3
delta: 1.3.3
expanse: 1.2.6
faster: 1.2.6, 1.3.1, 1.3.2, 1.3.3"
libtool,"aces: 2.4.6, 2.4.7
faster: 2.4.6, 2.4.7"
libunistring,"aces: 1.0
expanse: 0.9.10
faster: 0.9.10, 1.0"
libunwind,"aces: 1.4.0, 1.5.0, 1.6.2
expanse: 1.4.0
faster: 1.3.1, 1.4.0, 1.5.0, 1.6.2"
libvorbis,"aces: 1.3.7
faster: 1.3.7"
libvori,"aces: 220621
faster: 220621"
libwebp,"aces: 1.2.0, 1.2.4, 1.3.1
faster: 1.2.0, 1.2.4"
libwpe,"aces: 1.13.3
faster: 1.13.3"
libxc,"aces: 5.2.3, 6.1.0, 6.2.2
expanse: ietrtke, 2yb6cx6
faster: 5.1.5, 5.1.6, 5.2.3, 6.1.0"
libxml2,"aces: 2.9.10, 2.9.13, 2.10.3, 2.11.4, 2.11.5
anvil: 2.9.10
faster: 2.9.8, 2.9.9, 2.9.10, 2.9.13, 2.10.3, 2.11.4, 2.11.5"
libxslt,"aces: 1.1.34, 1.1.37, 1.1.38
anvil: 1.1.33
faster: 1.1.34, 1.1.37, 1.1.38"
libxsmm,"aces: 1.17
faster: 1.16.2, 1.17"
libyaml,"aces: 0.2.5
faster: 0.2.2, 0.2.5"
libzip,"aces: 1.7.3
faster: 1.7.3"
lifelines,aces: 0.27.4
lmod,"aces: lmod
bridges-2: lmod
delta: lmod
faster: lmod
jetstream: lmod"
lxml,"aces: 4.6.3, 4.9.1, 4.9.2
faster: 4.6.3, 4.9.1, 4.9.2"
lz4,"aces: 1.9.2, 1.9.3, 1.9.4
faster: 1.9.2, 1.9.3, 1.9.4"
maeparser,"aces: 1.3.0
faster: 1.3.0"
magma,"aces: 2.6.1-CUDA-11.3.1, 2.6.2-CUDA-11.7.0, 2.6.2-CUDA-11.8.0, 2.7.1-CUDA-12.0.0, 2.7.2-CUDA-12.1.1
delta: 2.7.2
expanse: pp6inq4, 5tlnzda, ...
faster: 2.5.4, 2.6.1-CUDA-11.3.1, 2.6.2-CUDA-11.4.1, 2.6.2-CUDA-11.7.0, 2.7.2-CUDA-12.1.1"
make,"aces: 4.3, 4.4.1
faster: 4.3, 4.4.1
kyric: 4.3"
makedepend,"aces: 1.0.6, 1.0.7
faster: 1.0.7"
makeinfo,"aces: 6.7-minimal, 7.0.3, 7.1
faster: 6.7-minimal, 6.7, 6.8, 7.0.3"
matplotlib,"aces: 3.3.3, 3.4.3, 3.5.2, 3.7.0, 3.7.2
faster: 3.1.1-Python-3.7.4, 3.2.1-Python-3.8.2, 3.3.3, 3.4.2, 3.4.3, 3.5.1, 3.5.2, ..."
maturin,"aces: 1.1.0, 1.4.0-Rust-1.75.0"
meson-python,"aces: 0.13.2, 0.15.0
faster: 0.13.2"
minizip,"aces: 1.1
faster: 1.1"
mold,"aces: 1.3.0, 1.11.0, 2.4.0
faster: 2.4.0"
motif,aces: 2.3.8
mpi4py,"aces: 3.1.4, 3.1.5
faster: 3.1.4"
musl,aces: 1.2.4
ncbi-vdb,"aces: 3.0.2
faster: 2.10.7, 3.0.2"
ncurses,"aces: 6.2, 6.3, 6.4
delta: 6.1.20180224
expanse: 6.2
faster: 5.9, 6.0, 6.1, 6.2, 6.3, 6.4"
netcdf,"aces: 4.7.4, 4.8.0, 4.8.1, 4.9.0, 4.9.2
faster: 4.6.1, 4.7.1, 4.7.4, 4.8.0, 4.8.1, 4.9.0, 4.9.2"
netcdf-c++4,"aces: 4.3.1
faster: 4.3.1"
netcdf-fortran,"aces: 4.5.3, 4.6.0
anvil: 4.5.3
delta: 4.6.1
expanse: bccwfsv, ...
faster: 4.4.4, 4.5.2, 4.5.3, 4.6.0"
netcdf4-python,"aces: 1.6.1
faster: 1.5.3-Python-3.8.2, 1.5.7"
nettle,"aces: 3.7.2, 3.7.3, 3.8, 3.8.1
faster: 3.5.1, 3.6, 3.7.2, 3.7.3, 3.8, 3.8.1"
networkx,"aces: 2.6.3, 2.8.4, 3.0, 3.1, 3.2.1
faster: 2.4-Python-3.7.4, 2.4-Python-3.8.2, 2.5, 2.5.1, 2.6.3, 2.8.4, 3.1"
nghttp2,"aces: 1.48.0
faster: 1.48.0"
nghttp3,"aces: 0.6.0
faster: 0.6.0"
ngtcp2,"aces: 0.7.0
faster: 0.7.0"
nlohmann_json,"aces: 3.10.5, 3.11.2
faster: 3.10.5, 3.11.2"
nmad,aces: 20220531
nodejs,"aces: 14.17.0, 14.17.6, 16.15.1, 18.12.1, 18.17.1
faster: 12.19.0, 14.17.0, 14.17.6, 16.15.1, 18.12.1, 18.17.1"
nsync,"aces: 1.24.0, 1.25.0, 1.26.0
faster: 1.24.0, 1.25.0, 1.26.0"
numactl,"aces: 2.0.13, 2.0.14, 2.0.16
anvil: 2.0.14
expanse: 2.0.12
faster: 2.0.11, 2.0.12, 2.0.13, 2.0.14, 2.0.16"
numba,"aces: 0.52.0, 0.54.1-CUDA-11.4.1, 0.56.4-CUDA-11.7.0, 0.56.4, 0.58.1
faster: 0.50.0-Python-3.8.2, 0.52.0, 0.53.1, 0.54.1-CUDA-11.4.1, 0.54.1, 0.56.4-CUDA-11.7.0"
numpy,"aces: 1.26.4
bridges-2: 1.19.4"
nvidia-container-cli,"aces: 1.13.2-1-hprc
faster: 1.11.0-hprc, 1.13.2-1-hprc"
nvtop,"aces: 3.0.1, 3.0.2
delta: 3.0.1
faster: 1.2.1"
p11-kit,"aces: 0.24.1
faster: 0.24.1"
patchelf,"aces: 0.15.0, 0.17.2, 0.18.0
faster: 0.13, 0.15.0, 0.17.2, 0.18.0"
physics-tenpy,"aces: 0.10.0
faster: 0.10.0-Python-3.10.4, 0.10.0"
pigz,"aces: 2.6
expanse: bgymyil, i4tkq26
faster: 2.6, 2.7"
pioman,aces: 20220531
pixman,"aces: 0.40.0, 0.42.2
faster: 0.38.4, 0.40.0, 0.42.2"
pkg-config,"aces: 0.29.2
faster: 0.29.2"
pkgconf,"aces: 1.8.0, 1.9.3, 1.9.5, 2.0.3
faster: 1.8.0, 1.9.3, 1.9.5, 2.0.3"
pkgconfig,"aces: 1.5.1-python, 1.5.4-python, 1.5.5-python
faster: 1.5.1-python, 1.5.1-Python-3.7.4, 1.5.1-Python-3.8.2, 1.5.4-python, 1.5.5-python"
plotly.py,"aces: 5.12.0, 5.13.1
faster: 5.1.0, 5.4.0"
pocl,"aces: 1.8
faster: 1.6, 1.8, 4.0"
poetry,"aces: 1.5.1, 1.6.1
faster: 1.0.9-Python-3.8.2, 1.5.1"
poppler,"aces: 22.12.0, 23.09.0
faster: 22.12.0, 23.09.0"
protobuf,"aces: 3.14.0, 3.17.3, 3.19.4, 23.0, 24.0
anvil: 3.11.4
faster: 3.10.0, 3.13.0, 3.14.0, 3.17.3, 3.19.4, 23.0, 24.0"
protobuf-python,"aces: 3.14.0, 3.17.3, 3.19.4, 4.23.0, 4.24.0
faster: 3.10.0-Python-3.7.4, 3.13.0-Python-3.8.2, 3.14.0, 3.17.3, 3.19.4, ..."
psycopg2,"aces: 2.9.5
faster: 2.8.6-Python-3.8.2, 2.9.5"
pugixml,"aces: 1.12.1
faster: 1.12.1"
py-cpuinfo,aces: 9.0.0
py3dmol,aces: 2.0.1.post1
pybind11,"aces: 2.6.0, 2.6.2, 2.7.1, 2.9.2, 2.10.3, 2.11.1
faster: 2.4.3-Python-3.7.4, 2.4.3-Python-3.8.2, 2.6.0, 2.6.2, 2.7.1, 2.9.2, 2.10.3, 2.11.1"
pydantic,"aces: 1.10.4, 2.5.3
faster: 1.6.1-Python-3.9.6"
pydicom,aces: 2.3.0
pyproj,"aces: 3.5.0, 3.6.0
faster: 2.6.1.post1-Python-3.8.2, 3.1.0, 3.3.1, 3.6.0"
pytesseract,aces: 0.3.10
pytest,"aces: 7.2.2
faster: 7.1.3, 7.2.2"
pytest-flakefinder,"aces: 1.1.0
faster: 1.1.0"
pytest-rerunfailures,"aces: 11.1, 12.0
faster: 11.1, 12.0"
pytest-shard,"aces: 0.1.2
faster: 0.1.2"
pytest-xdist,"aces: 2.3.0, 2.5.0
faster: 2.3.0, 2.5.0"
python-isal,"aces: 0.11.1
faster: 0.11.0, 0.11.1"
re2c,"aces: 2.2, 3.0, 3.1
faster: 1.3, 2.0.3, 2.1.1, 2.2, 3.0, 3.1"
redis-py,"aces: 4.5.1
faster: 4.3.3, 4.5.1"
rising,aces: 0.2.2
scikit-build,"aces: 0.11.1, 0.15.0, 0.17.2, 0.17.6
faster: 0.11.1, 0.15.0, 0.16.7, 0.17.6"
scikit-cuda,aces: 0.5.3-CUDA-11.8.0
scikit-image,"aces: 0.19.3
faster: 0.16.2-Python-3.7.4, 0.18.1, 0.19.1"
scikit-learn,"aces: 0.24.2, 1.1.2, 1.2.1
faster: 0.23.1-Python-3.8.2, 0.23.2, 0.24.2, 1.0.1, 1.1.2, 1.2.1"
settarg,"aces: settarg
bridges-2: settarg
delta: settarg
faster: settarg
jetstream: settarg"
setuptools,aces: 64.0.3
setuptools-rust,"aces: 1.6.0, 1.7.0, 1.8.0
faster: 1.6.0"
snappy,"aces: 1.1.8, 1.1.9, 1.1.10
faster: 1.1.7, 1.1.8, 1.1.9, 1.1.10"
spacy,aces: 3.4.4
spglib,"aces: 2.0.2
faster: 2.0.2"
spglib-python,"aces: 1.16.0, 2.0.0
faster: 1.16.0, 2.0.0"
spython,"aces: 0.3.0
faster: 0.3.0"
statsmodels,"aces: 0.13.1
faster: 0.13.1"
sympy,"aces: 1.10.1, 1.12
faster: 1.5.1-Python-3.7.4, 1.10.1, 1.12"
synthcity,aces: 0.2.4
tbb,"aces: 2021.5.0
faster: 2020.1, 2020.3, 2021.4.0, 2021.5.0
kyric: latest, 2021.1.1"
tcsh,"aces: 6.24.01, 6.24.07
faster: 6.22.02, 6.22.03, 6.22.04, 6.24.00, 6.24.01, 6.24.07"
tensorboard,"aces: 2.8.0, 2.10.0
faster: 2.8.0, 2.10.0"
tensorboardx,"aces: 2.5.1, 2.6.2.2
faster: 2.2-PyTorch-1.7.1, 2.5.1"
tensorflow-probability,"aces: 0.19.0-CUDA-11.7.0
faster: 0.12.1, 0.19.0-CUDA-11.7.0"
tesseract,aces: 5.3.0
texlive,"aces: 20230313
anvil: 20200406"
time,"aces: 1.9
delta: 1.9
faster: 1.9"
tmux,aces: 3.3a
torchsampler,aces: 0.1.2
torchtext,aces: 0.14.1-PyTorch-1.12.0
torchvision,"aces: 0.13.1-CUDA-11.7.0, 0.13.1
faster: 0.8.2-PyTorch-1.7.1, 0.9.1-PyTorch-1.8.1, 0.9.1-PyTorch-1.9.0-fosscuda-2020b-imkl, 0.11.1-CUDA-11.3.1, ..."
tornado,aces: 6.3.2
tqdm,"aces: 4.61.2, 4.64.0, 4.64.1, 4.66.1
faster: 4.47.0, 4.56.2, 4.61.2, 4.62.3"
typing-extensions,"aces: 3.7.4.3, 3.10.0.0, 3.10.0.2, 4.3.0, 4.9.0
faster: 3.7.4.3, 3.10.0.0, 3.10.0.2, 4.3.0"
utf8proc,"aces: 2.7.0, 2.8.0
faster: 2.6.1, 2.7.0"
util-linux,"aces: 2.36, 2.37, 2.38, 2.38.1, 2.39
faster: 2.34, 2.35, 2.36, 2.37, 2.38, 2.38.1, 2.39"
vasp,"aces: 6.3.2
anvil: 5.4.4.pl2, 6.3.0
bridges-2: 5.4.4+vtst-intel, 6.3+vtst-intel, 6.4.1-intel, ...
expanse: 5.4.4-openblas-wannier90, 5.4.4-openblas-wannier90-3.1, ...
faster: 6.3.2-VTST-195-VASPsol-libbeef, 6.3.2-VTST-195-VASPsol, 6.3.2"
virtualenv,"aces: 20.23.1, 20.24.6
faster: 20.23.1"
wget,"aces: 1.21.3
faster: 1.21.3"
wpebackend-fdo,"aces: 1.13.1
faster: 1.13.1"
wxpython,"aces: 4.2.0
faster: 4.2.0"
wxwidgets,"aces: 3.2.0, 3.2.2.1
faster: 3.0.3, 3.1.4, 3.2.0"
x264,"aces: 20210414, 20210613, 20220620, 20230226
faster: 20191217, 20201026, 20210414, 20210613, 20220620, 20230226"
x265,"aces: 3.5
faster: 3.3, 3.5"
xarray,"aces: 0.20.1, 2022.6.0, 2022.9.0, 2023.4.2, 2023.9.0
faster: 0.16.1-Python-3.8.2, 0.19.0, 0.20.1"
xorg-macros,"aces: 1.19.2, 1.19.3, 1.20.0
faster: 1.19.2, 1.19.3, 1.20.0"
xpmem,"aces: 61c39ef
faster: 61c39ef"
xprop,"aces: 1.2.5
faster: 1.2.5, 1.2.6"
xproto,"aces: 7.0.31
delta: 7.0.31
faster: 7.0.31"
xxd,"aces: 8.2.4220, 9.0.1696, 9.0.2112
faster: 8.2.4220, 9.0.1696"
zarr,"aces: 2.13.3, 2.16.0
faster: 2.8.1, 2.11.0, 2.13.3"
zlib,"aces: 1.2.11, 1.2.12, 1.2.13
anvil: 1.2.11
expanse: 1.2.11
faster: 1.2.11, 1.2.12, 1.2.13"
zstd,"aces: 1.4.5, 1.4.9, 1.5.0, 1.5.2, 1.5.5
expanse: 1.4.5
faster: 1.4.4, 1.4.5, 1.4.9, 1.5.0, 1.5.2, 1.5.5"
abacas,anvil: 1.3.1
abismal,anvil: 3.0.0
abpoa,anvil: 1.4.1
abricate,anvil: 1.0.1
abyss,"anvil: 2.3.2, 2.3.4
bridges-2: 2.1.5
faster: 2.1.5"
adapterremoval,"anvil: 2.3.3
faster: 2.3.3"
advntr,"anvil: 1.4.0, 1.5.0"
afplot,anvil: 0.2.1
afterqc,anvil: 0.9.7
agat,anvil: 0.8.1
agfusion,anvil: 1.3.11
alfred,"anvil: 0.2.5, 0.2.6"
alien-hunter,anvil: 1.7.7
alignstats,anvil: 0.9.1
allpathslg,anvil: 52488
amber,"anvil: 20
expanse: c6gwmih-omp, ulauqq7-omp
faster: 20-CUDA-11.4.1-NCCL-2.11.4-Python-3.9.5, 20-CUDA-11.4.1-Python-3.9.5"
amdblis,"anvil: 3.0
expanse: zcuungw-omp, 6sfatsa"
amdfftw,"anvil: 3.0
expanse: t757st4, zqoqbjf-omp, ..."
amdlibflame,"anvil: 3.0
expanse: f37pl2z"
amdlibm,"anvil: 3.0
expanse: uil3tqx"
amdscalapack,"anvil: 3.0
expanse: 7qg2ts5"
amptk,anvil: 1.5.4
anaconda,"anvil: 2021.05-py38
jetstream: 22.9.0"
ananse,anvil: 0.4.0
anchorwave,"anvil: 1.0.1, 1.1.1"
angsd,"anvil: 0.935, 0.937, 0.939, 0.940
faster: 0.935"
annogesic,anvil: 1.1.0
annovar,anvil: 2022-01-13
antismash,"anvil: 5.1.2, 6.0.1, 6.1.0"
anvio,"anvil: 7.0, 7.1_main, 7.1_structure
bridges-2: 7"
any2fasta,"anvil: 0.4.2
faster: 0.4.2"
arcs,anvil: 1.2.4
ariba,anvil: 2.14.6
ascatngs,anvil: 4.5.0
asgal,anvil: 1.1.7
aspera-connect,"anvil: 4.2.6
bridges-2: 3.11.0.5"
assembly-stats,anvil: 1.0.1
atac-seq-pipeline,anvil: 2.1.3
ataqv,anvil: 1.3.0
atram,anvil: 2.4.3
atropos,"anvil: 1.1.17, 1.1.31"
augur,"anvil: 14.0.0, 15.0.0"
augustus,"anvil: 3.4.0, 3.5.0
bridges-2: 3.4.0"
aws-cli,"anvil: 2.4.15
delta: 2.13.14"
bactopia,"anvil: 2.0.3, 2.1.1, 2.2.0, 3.0.0"
bali-phy,"anvil: 3.6.0
faster: 3.6.0, 3.6.1"
bam-readcount,anvil: 1.0.0
bamgineer,anvil: 1.1
bamliquidator,anvil: 1.5.2
bamsurgeon,anvil: 1.2
bamutil,anvil: 1.0.15
barrnap,anvil: 0.9.4
basenji,anvil: 0.5.1
bayescan,anvil: 2.1
bazam,anvil: 1.0.1
bbtools,anvil: 39.00
bcftools,"anvil: 1.13, 1.14, 1.17
bridges-2: 1.10.2
expanse: 5zeidhh
faster: 1.14"
bcl2fastq,anvil: 2.20.0
beagle,"anvil: 5.1_24Aug19.3e8, 5.1"
beast2,"anvil: 2.6.3, 2.6.4, 2.6.6
expanse: bhuvd2x, ymaff6c"
bedops,"anvil: 2.4.39
bridges-2: 2.4.39"
bioawk,"anvil: 1.0
faster: 1.0"
biobambam,anvil: 2.0.183
biocontainers,anvil: default
bioconvert,"anvil: 0.4.3, 0.5.2, 0.6.1, 0.6.2"
bismark,"anvil: 0.23.0, 0.24.0
bridges-2: 0.22.3
expanse: 4xdflxj"
blasr,anvil: 5.3.5
blast,"anvil: 2.11.0, 2.13.0
bridges-2: 2.9.0, 2.11.0
faster: 2.11.0-Linux_x86_64"
blast-plus,"anvil: 2.12.0
expanse: jrvhcsy"
blobtools,anvil: 1.1.1
bmge,anvil: 1.12
bowtie,"anvil: 1.3.1
faster: 1.3.1"
bowtie2,"anvil: 2.4.2, 2.5.1
bridges-2: 2.4.2, 2.4.4
expanse: ahg6m6s
faster: 2.4.4, 2.4.5, 2.5.1"
bracken,"anvil: 2.6.1, 2.7"
braker2,anvil: 2.1.6
brass,anvil: 6.3.4
breseq,anvil: 0.36.1
busco,"anvil: 5.2.2, 5.3.0, 5.4.1, 5.4.3, 5.4.4, 5.4.5, 5.4.7
bridges-2: 5.0.0"
bustools,anvil: 0.41.0
bwameth,anvil: 0.2.5
cactus,"anvil: 2.0.5, 2.2.1, 2.2.3-gpu, 2.2.3, 2.4.0-gpu, 2.4.0, 2.5.2-gpu, 2.5.2, 2.6.5-gpu, ..."
cafe,"anvil: 4.2.1, 5.0.0"
canu,"anvil: 2.1.1, 2.2
faster: 2.2"
ccs,anvil: 6.4.0
cdbtools,anvil: 0.99
cegma,anvil: 2.5
cellbender,"anvil: 0.2.0, 0.2.2"
cellphonedb,anvil: 2.1.7
cellranger,"anvil: 6.0.1, 6.1.1, 6.1.2, 7.0.0, 7.0.1, 7.1.0"
cellranger-arc,anvil: 2.0.2
cellranger-atac,"anvil: 2.0.0, 2.1.0"
cellranger-dna,anvil: 1.1.0
cellrank,anvil: 1.5.1
cellrank-krylov,anvil: 1.5.1
cellsnp-lite,anvil: 1.2.2
celltypist,"anvil: 0.2.0, 1.1.0"
centrifuge,anvil: 1.0.4_beta
cfsan-snp-pipeline,anvil: 2.2.1
checkm-genome,"anvil: 1.2.0, 1.2.2"
chewbbaca,anvil: 2.8.5
chopper,anvil: 0.2.0
chromap,anvil: 0.2.2
cicero,anvil: 1.8.1
circexplorer2,anvil: 2.3.8
circlator,anvil: 1.5.5
circompara2,anvil: 0.1.2.1
circos,"anvil: 0.69.8
bridges-2: 0.69-9"
ciri2,anvil: 2.0.6
ciriquant,anvil: 1.1.2
clair3,"anvil: 0.1-r11, 0.1-r12"
clairvoyante,anvil: 1.02
clearcnv,anvil: 0.306
clever-toolkit,anvil: 2.4
clonalframeml,anvil: 1.11
clust,anvil: 1.17.0
clustalw,anvil: 2.1
cnvkit,anvil: 0.9.9-py
cnvnator,"anvil: 0.4.1
faster: 0.4.1"
coinfinder,anvil: 1.2.0
concoct,anvil: 1.1.0
control-freec,anvil: 11.6
cooler,anvil: 0.8.11
coverm,anvil: 0.6.1
covgen,anvil: 1.0.2
cramino,anvil: 0.9.6
crisprcasfinder,anvil: 4.2.20
crispresso2,"anvil: 2.2.8, 2.2.9, 2.2.10, 2.2.11a"
crispritz,anvil: 2.6.5
cross_match,anvil: 1.090518
crossmap,anvil: 0.6.3
csvkit,anvil: 1.1.1
csvtk,"anvil: 0.23.0, 0.25.0"
cue-login-env,"anvil: 1.1
delta: 1.0
expanse: cue-login-env"
cufflinks,"anvil: 2.2.1
expanse: 2.2.1"
cuttlefish,anvil: 2.1.1
cyvcf2,anvil: 0.30.14
das_tool,anvil: 1.1.6
datasets,anvil: datasets
dbg2olc,"anvil: 20180222, 20200723"
debreak,anvil: 1.3
deconseq,anvil: 0.4.3
deepbgc,"anvil: 0.1.26, 0.1.30"
deepconsensus,anvil: 0.2.0
deepsignal2,anvil: 0.1.2
deeptools,anvil: 3.5.1-py
deepvariant,"anvil: 1.0.0, 1.1.0"
